date,funding
2020-06-30,7.46e-05
2020-07-01,0.00032671
2020-07-02,0.0
2020-07-03,0.00015225
2020-07-04,0.00046477
2020-07-05,0.0
2020-07-06,0.0010617
2020-07-07,0.00233489
2020-07-08,0.0009227
2020-07-09,0.00078365
2020-07-10,0.00021412
2020-07-11,0.00042435000000000004
2020-07-12,0.00078054
2020-07-13,0.00195417
2020-07-14,0.00162054
2020-07-15,0.00098025
2020-07-16,0.00090376
2020-07-17,0.0
2020-07-18,0.0
2020-07-19,0.0
2020-07-20,0.00100082
2020-07-21,0.0009666
2020-07-22,0.00019297
2020-07-23,0.00048441999999999995
2020-07-24,0.00021166999999999998
2020-07-25,8.408e-05
2020-07-26,0.0007975899999999999
2020-07-27,0.00103313
2020-07-28,0.00117087
2020-07-29,0.00148697
2020-07-30,0.0014202
2020-07-31,0.0013744999999999999
2020-08-01,0.00060488
2020-08-02,0.00129589
2020-08-03,0.00049705
2020-08-04,0.00174097
2020-08-05,0.00070504
2020-08-06,-0.00033927
2020-08-07,0.0
2020-08-08,-0.00426316
2020-08-09,-0.00125034
2020-08-10,0.00035918
2020-08-11,0.00066607
2020-08-12,0.00019557
2020-08-13,0.00137535
2020-08-14,0.00230267
2020-08-15,0.00106941
2020-08-16,0.00074106
2020-08-17,0.0017228599999999999
2020-08-18,0.00284922
2020-08-19,0.0006736
2020-08-20,0.00219275
2020-08-21,0.00112802
2020-08-22,0.00023546
2020-08-23,0.00057332
2020-08-24,0.00044896
2020-08-25,0.00082681
2020-08-26,0.00059167
2020-08-27,0.00052126
2020-08-28,0.00144757
2020-08-29,0.00079981
2020-08-30,0.00145313
2020-08-31,0.0013823
2020-09-01,0.0022750599999999998
2020-09-02,0.0030917600000000003
2020-09-03,0.00096137
2020-09-04,-9.235e-05
2020-09-05,-0.0013379899999999998
2020-09-06,-0.00265818
2020-09-07,-0.00145349
2020-09-08,-0.00363149
2020-09-09,-0.0027150900000000003
2020-09-10,-0.00019463
2020-09-11,-0.00126787
2020-09-12,-0.00307707
2020-09-13,-0.0040082799999999995
2020-09-14,-0.00598255
2020-09-15,-0.00429606
2020-09-16,-0.00269557
2020-09-17,-0.00073195
2020-09-18,-0.00129353
2020-09-19,0.00037037999999999996
2020-09-20,0.00088605
2020-09-21,6.052e-05
2020-09-22,0.0
2020-09-23,0.0
2020-09-24,0.0
2020-09-25,-0.00014236
2020-09-26,0.0
2020-09-27,-0.00269181
2020-09-28,-0.00158781
2020-09-29,-0.0044919999999999995
2020-09-30,-0.00571848
2020-10-01,-0.00267332
2020-10-02,-0.00238396
2020-10-03,-0.00408852
2020-10-04,-0.006794420000000001
2020-10-05,-0.0049814099999999995
2020-10-06,-0.0028044100000000002
2020-10-07,-0.00163314
2020-10-08,-0.00053273
2020-10-09,-0.00040054
2020-10-10,-0.00087665
2020-10-11,0.0
2020-10-12,-0.00041136
2020-10-13,-0.0038886
2020-10-14,-0.0025398499999999997
2020-10-15,-0.00298097
2020-10-16,-6.873e-05
2020-10-17,-0.00012938
2020-10-18,-0.00015302
2020-10-19,-0.00044859999999999995
2020-10-20,0.0
2020-10-21,0.0
2020-10-22,0.00067238
2020-10-23,0.00015567
2020-10-24,0.0
2020-10-25,0.0
2020-10-26,-0.00029603
2020-10-27,-0.00033136
2020-10-28,0.0
2020-10-29,0.0
2020-10-30,-0.00055634
2020-10-31,4.857e-05
2020-11-01,0.00017913
2020-11-02,0.00018021
2020-11-03,0.0
2020-11-04,8.636e-05
2020-11-05,0.00026077
